time(s),cellId,rnti,lcid,packetSize,delay(s)
1.05074,4,2,3,22561,0.00274285
1.05074,2,3,3,15967,0.00274285
1.05074,6,3,3,1097,0.00274285
1.05089,2,2,3,15967,0.00288571
1.05089,6,2,3,9544,0.00288571
1.05096,8,7,3,5638,0.0129571
1.05103,2,1,3,15967,0.00302856
1.05103,6,1,3,15967,0.00302856
1.05131,8,6,3,7982,0.00231428
1.05139,2,5,3,19524,0.00238571
1.05139,6,5,3,6419,0.00238571
1.05146,4,3,3,31934,0.00245714
1.0516,6,4,3,23949,0.0026
1.0516,8,4,3,1733,0.0026
1.05174,4,2,3,19091,0.00274285
1.05174,2,3,3,15967,0.00274285
1.05174,6,3,3,1097,0.00274285
1.05174,8,3,3,15967,0.00274285
1.05189,2,2,3,15967,0.00288571
1.05189,6,2,3,9544,0.00288571
1.05189,8,2,3,15967,0.00288571
1.05203,2,1,3,15967,0.00302856
1.05203,6,1,3,7807,0.00302856
1.05203,8,1,3,15967,0.00302856
1.05231,8,6,3,7982,0.00231428
1.05239,2,5,3,22128,0.00238571
1.0526,8,4,3,1733,0.0026
1.05274,2,3,3,15967,0.00274285
1.05274,8,3,3,15967,0.00274285
1.05289,2,2,3,15967,0.00288571
1.05289,8,2,3,15967,0.00288571
1.05303,4,1,3,22561,0.00802856
1.05303,6,2,3,15967,0.00802856
1.05303,2,1,3,15967,0.00302856
1.05303,8,1,3,15967,0.00302856
1.05346,4,3,3,31934,0.00245714
1.0536,2,4,3,22128,0.0026
1.05374,4,2,3,22561,0.00274285
1.05374,2,3,3,15967,0.00274285
1.05389,2,2,3,15967,0.00288571
1.05403,6,2,3,15967,0.00802856
1.05403,8,4,3,7807,0.0130286
1.05403,4,1,3,15618,0.00302856
1.05403,2,1,3,15967,0.00302856
1.05474,2,3,3,15967,0.00274285
1.05489,2,2,3,15967,0.00288571
1.05503,4,1,3,26031,0.00802856
1.05503,6,1,3,15967,0.00802856
1.05503,8,4,3,14750,0.0130286
1.05503,2,1,3,15967,0.00302856
1.05531,8,6,3,7982,0.00231428
1.05546,8,5,3,5551,0.00245714
1.0556,6,4,3,23949,0.0026
1.0556,8,4,3,1733,0.0026
1.05574,2,3,3,15967,0.00274285
1.05574,6,3,3,1097,0.00274285
1.05574,8,3,3,15967,0.00274285
1.05589,2,2,3,15967,0.00288571
1.05589,6,2,3,9544,0.00288571
1.05589,8,2,3,15967,0.00288571
1.05603,4,1,3,22561,0.00802856
1.05603,2,1,3,15967,0.00302856
1.05603,8,1,3,15967,0.00302856
1.05639,6,5,3,16919,0.00238571
1.0566,6,4,3,23949,0.0026
1.05674,6,3,3,1097,0.00274285
1.05689,6,2,3,9544,0.00288571
1.05703,2,4,3,23949,0.00802856
1.05703,4,1,3,22561,0.00802856
1.05703,8,7,3,2775,0.00802856
1.05703,8,5,3,9544,0.00802856
1.05739,6,5,3,14317,0.00238571
1.05746,4,3,3,31934,0.00245714
1.0576,6,4,3,23949,0.0026
1.05774,4,2,3,22561,0.00274285
1.05774,6,3,3,1097,0.00274285
1.05789,6,2,3,9544,0.00288571
1.05796,2,4,3,23949,0.00795714
1.05803,8,7,3,5638,0.00802856
1.05803,8,5,3,9544,0.00802856
1.05803,4,1,3,15618,0.00302856
1.05803,6,1,3,7807,0.00302856
1.05824,8,7,3,2139,0.00224286
1.05831,8,6,3,7982,0.00231428
1.05839,6,5,3,14317,0.00238571
1.05846,4,3,3,31934,0.00245714
1.05846,8,5,3,5551,0.00245714
1.0586,6,4,3,23949,0.0026
1.0586,8,4,3,5551,0.0026
1.05874,4,2,3,22561,0.00274285
1.05874,6,3,3,1097,0.00274285
1.05874,8,3,3,15967,0.00274285
1.05889,8,2,3,15967,0.00288571
1.05903,2,5,3,23949,0.00802856
1.05903,6,1,3,7807,0.00302856
1.05903,8,1,3,15967,0.00302856
1.05924,8,7,3,2139,0.00224286
1.05931,8,6,3,7982,0.00231428
1.05946,4,3,3,31934,0.00245714
1.05946,8,5,3,5551,0.00245714
1.05974,4,2,3,22561,0.00274285
1.05974,8,3,3,15967,0.00274285
1.05989,8,2,3,15967,0.00288571
1.05996,2,4,3,23949,0.00795714
1.05996,2,5,3,23949,0.00795714
1.06003,6,2,3,15967,0.0130286
1.06003,4,1,3,26031,0.00302856
1.06003,8,1,3,15967,0.00302856
1.06046,4,3,3,31934,0.00245714
1.06074,4,2,3,22561,0.00274285
1.06096,8,7,3,5638,0.00795714
1.06103,2,4,3,23949,0.00802856
1.06103,2,5,3,23949,0.00802856
1.06103,6,5,3,16919,0.00802856
1.06103,6,1,3,11280,0.00802856
1.06103,4,1,3,22561,0.00302856
1.06124,8,7,3,2139,0.00224286
1.06131,8,6,3,7982,0.00231428
1.06139,2,5,3,22128,0.00238571
1.06146,4,3,3,31934,0.00245714
1.06174,4,2,3,22561,0.00274285
1.06174,2,3,3,15967,0.00274285
1.06174,8,3,3,15967,0.00274285
1.06189,2,2,3,15967,0.00288571
1.06189,8,2,3,15967,0.00288571
1.06196,6,1,3,15967,0.00795714
1.06203,4,1,3,26031,0.00302856
1.06203,2,1,3,15967,0.00302856
1.06203,8,1,3,15967,0.00302856
1.06231,8,6,3,7982,0.00231428
1.06239,2,5,3,22128,0.00238571
1.06246,4,3,3,31934,0.00245714
1.0626,6,4,3,23949,0.0026
1.06274,4,2,3,22561,0.00274285
1.06274,2,3,3,15967,0.00274285
1.06274,8,3,3,15967,0.00274285
1.06289,2,2,3,15967,0.00288571
1.06289,8,2,3,15967,0.00288571
1.06303,2,1,3,15967,0.00302856
1.06303,8,1,3,15967,0.00302856
1.06331,8,6,3,7982,0.00231428
1.06339,2,5,3,22128,0.00238571
1.06374,2,3,3,15967,0.00274285
1.06374,8,3,3,15967,0.00274285
1.06389,2,2,3,15967,0.00288571
1.06389,8,2,3,15967,0.00288571
1.06403,4,1,3,22561,0.00802856
1.06403,6,2,3,14750,0.00802856
1.06403,2,1,3,15967,0.00302856
1.06403,8,1,3,15967,0.00302856
1.06439,2,5,3,23949,0.00238571
1.06446,4,3,3,31934,0.00245714
1.0646,6,4,3,23949,0.0026
1.06474,2,3,3,15967,0.00274285
1.06474,6,3,3,1097,0.00274285
1.06489,2,2,3,15967,0.00288571
1.06489,6,2,3,9544,0.00288571
1.06503,8,4,3,9544,0.00802856
1.06503,4,1,3,15618,0.00302856
1.06503,2,1,3,15967,0.00302856
1.06503,6,1,3,7807,0.00302856
