time(s),cellId,rnti,lcid,packetSize
1.085,6,2,3,15967
1.085,6,1,3,7807
1.085,8,7,3,2139
1.085,8,6,3,7982
1.085,8,5,3,5551
1.085,8,4,3,5551
1.085,8,3,3,15967
1.085,8,2,3,15967
1.085,8,1,3,15967
1.086,8,7,3,4770
1.086,8,6,3,7982
1.086,8,5,3,5551
1.086,8,4,3,5551
1.086,8,3,3,15967
1.086,8,2,3,15967
1.086,8,1,3,15967
1.089,2,5,3,23949
1.089,2,4,3,22128
1.089,2,3,3,15967
1.089,2,2,3,15967
1.089,2,1,3,15967
1.089,8,7,3,1733
1.089,8,6,3,7982
1.089,8,5,3,5551
1.089,8,4,3,5551
1.089,8,3,3,15967
1.089,8,2,3,15967
1.089,8,1,3,15967
1.09,2,5,3,23949
1.09,2,4,3,22128
1.09,2,3,3,15967
1.09,2,2,3,15967
1.09,2,1,3,15967
1.09,4,2,3,39048
1.09,4,1,3,23429
1.09,8,7,3,1733
1.09,8,6,3,7982
1.09,8,5,3,2775
1.09,8,4,3,7807
1.09,8,3,3,15967
1.09,8,2,3,15967
1.09,8,1,3,15967
1.091,2,5,3,23949
1.091,2,4,3,14750
1.091,2,3,3,15967
1.091,2,2,3,15967
1.091,2,1,3,15967
1.091,4,2,3,23862
1.091,4,1,3,23429
1.091,6,5,3,16919
1.091,6,4,3,23949
1.091,6,3,3,3469
1.091,6,2,3,11280
1.091,6,1,3,7807
1.091,8,7,3,2139
1.091,8,6,3,7982
1.091,8,5,3,11280
1.091,8,4,3,9544
1.091,8,3,3,15967
1.091,8,2,3,15967
1.091,8,1,3,15967
1.092,2,5,3,23949
1.092,2,4,3,22128
1.092,2,3,3,15967
1.092,2,2,3,15967
1.092,2,1,3,15967
1.092,4,2,3,33841
1.092,4,1,3,33841
1.092,6,5,3,16919
1.092,6,4,3,23949
1.092,6,3,3,1097
1.092,6,2,3,11280
1.092,6,1,3,7807
1.092,8,7,3,4770
1.092,8,6,3,7982
1.092,8,5,3,11280
1.092,8,4,3,7807
1.092,8,3,3,15967
1.092,8,2,3,15967
1.092,8,1,3,15967
1.093,2,5,3,23949
1.093,2,4,3,22128
1.093,2,3,3,15967
1.093,2,2,3,15967
1.093,2,1,3,15967
1.093,4,2,3,33841
1.093,4,1,3,33841
1.093,6,5,3,16919
1.093,6,4,3,23949
1.093,6,3,3,632
1.093,6,2,3,11280
1.093,6,1,3,7807
1.094,4,2,3,39048
1.094,4,1,3,28635
1.094,6,5,3,8330
1.094,6,4,3,23949
1.094,6,3,3,632
1.094,6,2,3,6939
1.094,6,1,3,9544
1.094,8,7,3,3469
1.094,8,6,3,7982
