Time(sec),CellId,BwpId,IMSI,pathLoss(dB)
1.02993,7,0,6,-131.899
1.02993,1,0,16,-129.041
1.02993,7,0,9,-134.844
1.02993,3,0,7,-131.869
1.02993,7,0,13,-107.1
1.02993,1,0,17,-128.379
1.02993,7,0,14,-102.335
1.02993,1,0,19,-118.789
1.02993,5,0,1,-130.646
1.02993,3,0,11,-129.397
1.02993,7,0,18,-103.137
1.02993,1,0,20,-126.032
1.03086,3,0,7,-131.784
1.03093,7,0,3,-138.352
1.03093,7,0,4,-99.5846
1.03093,1,0,10,-129.549
1.03093,3,0,5,-104.869
1.03093,5,0,1,-130.636
1.03093,7,0,6,-131.932
1.03093,5,0,2,-95.0977
1.03093,1,0,16,-129.085
1.03093,7,0,9,-134.861
1.03093,5,0,8,-144.827
1.03093,7,0,13,-107.081
1.03093,1,0,17,-128.396
1.03093,5,0,12,-127.592
1.03093,7,0,14,-102.384
1.03093,1,0,19,-118.829
1.03093,3,0,11,-129.434
1.03093,5,0,15,-131.598
1.03093,7,0,18,-103.156
1.03093,1,0,20,-126.126
1.03093,3,0,7,-131.789
1.03193,7,0,3,-138.35
1.03193,7,0,4,-99.6092
1.03193,1,0,10,-129.499
1.03193,5,0,1,-130.583
1.03193,3,0,5,-104.866
1.03193,7,0,6,-131.941
1.03193,5,0,2,-95.1994
1.03193,1,0,16,-129.159
1.03193,7,0,9,-134.877
1.03193,3,0,7,-131.779
1.03193,5,0,8,-144.733
1.03193,7,0,13,-107.045
1.03193,1,0,17,-128.421
1.03193,5,0,12,-127.623
1.03193,7,0,14,-102.419
1.03193,1,0,19,-118.765
1.03193,3,0,11,-129.45
1.03193,5,0,15,-131.528
1.03193,7,0,18,-103.267
1.03193,1,0,20,-126.134
1.03293,5,0,1,-130.546
1.03293,3,0,5,-104.898
1.03293,5,0,2,-95.2496
1.03293,5,0,8,-144.692
1.03293,5,0,12,-127.562
1.03293,3,0,11,-129.407
1.03293,7,0,3,-138.345
1.03293,7,0,4,-99.6449
1.03293,1,0,10,-129.483
1.03293,7,0,6,-131.878
1.03293,1,0,16,-129.131
1.03293,7,0,9,-134.875
1.03293,7,0,13,-107.003
1.03293,1,0,17,-128.432
1.03293,7,0,14,-102.426
1.03293,1,0,19,-118.717
1.03293,3,0,7,-131.808
1.03293,5,0,15,-131.553
1.03293,7,0,18,-103.291
1.03293,1,0,20,-126.161
1.03393,7,0,3,-138.302
1.03393,7,0,4,-99.7409
1.03393,5,0,1,-130.564
1.03393,1,0,10,-129.461
1.03393,3,0,5,-104.909
1.03393,7,0,6,-131.856
1.03393,5,0,2,-95.2467
1.03393,1,0,16,-129.203
1.03393,7,0,9,-134.89
1.03393,3,0,7,-131.795
1.03393,5,0,8,-144.75
1.03393,7,0,13,-107.037
1.03393,1,0,17,-128.549
1.03393,5,0,12,-127.491
1.03393,7,0,14,-102.45
1.03393,1,0,19,-118.619
1.03393,3,0,11,-129.455
1.03393,5,0,15,-131.557
1.03393,7,0,18,-103.31
1.03393,1,0,20,-126.163
1.03493,7,0,3,-138.266
1.03493,7,0,4,-99.7324
1.03493,5,0,1,-130.491
1.03493,1,0,10,-129.486
1.03493,3,0,5,-104.869
1.03493,7,0,6,-131.883
1.03493,5,0,2,-95.2749
1.03493,1,0,16,-129.198
1.03493,7,0,9,-134.882
1.03493,3,0,7,-131.815
1.03493,5,0,8,-144.743
1.03493,7,0,13,-107.055
1.03493,1,0,17,-128.572
1.03493,5,0,12,-127.429
1.03493,7,0,14,-102.386
1.03493,1,0,19,-118.679
1.03493,3,0,11,-129.453
1.03493,5,0,15,-131.476
1.03493,7,0,18,-103.358
1.03493,1,0,20,-126.162
1.03593,5,0,1,-130.457
1.03593,3,0,5,-104.84
1.03593,5,0,2,-95.2303
1.03593,3,0,7,-131.853
1.03593,5,0,8,-144.731
1.03593,5,0,15,-131.539
1.03593,7,0,3,-138.349
1.03593,7,0,4,-99.6773
1.03593,1,0,10,-129.388
1.03593,7,0,6,-131.859
1.03593,1,0,16,-129.319
1.03593,7,0,9,-134.945
1.03593,7,0,13,-107.042
1.03593,1,0,17,-128.651
1.03593,7,0,14,-102.298
1.03593,1,0,19,-118.64
1.03593,5,0,12,-127.392
1.03593,3,0,11,-129.42
1.03593,7,0,18,-103.326
1.03593,1,0,20,-126.261
1.03693,7,0,3,-138.485
1.03693,7,0,4,-99.6903
1.03693,5,0,1,-130.449
1.03693,1,0,10,-129.462
1.03693,3,0,5,-104.924
1.03693,7,0,6,-131.92
1.03693,5,0,2,-95.2253
1.03693,1,0,16,-129.305
1.03693,7,0,9,-134.982
1.03693,3,0,7,-131.849
1.03693,5,0,8,-144.797
1.03693,7,0,13,-107.01
1.03693,1,0,17,-128.604
1.03693,7,0,14,-102.32
1.03693,1,0,19,-118.528
1.03693,5,0,12,-127.361
1.03693,3,0,11,-129.259
1.03693,5,0,15,-131.608
1.03693,7,0,18,-103.337
1.03693,1,0,20,-126.313
1.03793,7,0,3,-138.459
1.03793,7,0,4,-99.6833
1.03793,7,0,9,-135.037
1.03793,7,0,13,-106.977
1.03793,7,0,14,-102.192
1.03793,7,0,18,-103.319
1.03793,5,0,1,-130.476
1.03793,1,0,10,-129.431
1.03793,3,0,5,-104.899
1.03793,5,0,2,-95.2183
1.03793,1,0,16,-129.232
1.03793,3,0,7,-131.84
1.03793,5,0,8,-144.794
1.03793,1,0,17,-128.638
1.03793,1,0,19,-118.556
1.03793,5,0,12,-127.249
1.03793,7,0,6,-131.838
1.03793,3,0,11,-129.357
1.03793,5,0,15,-131.546
1.03793,1,0,20,-126.37
1.03886,5,0,1,-130.53
1.03893,7,0,3,-138.455
1.03893,7,0,4,-99.6918
1.03893,1,0,10,-129.382
1.03893,3,0,5,-104.924
1.03893,7,0,6,-131.843
1.03893,5,0,2,-95.2458
1.03893,1,0,16,-129.252
1.03893,7,0,9,-135.068
1.03893,5,0,8,-144.854
1.03893,3,0,7,-131.805
1.03893,7,0,13,-106.932
1.03893,1,0,17,-128.569
1.03893,5,0,12,-127.354
1.03893,7,0,14,-102.195
1.03893,1,0,19,-118.511
1.03893,5,0,15,-131.518
1.03893,3,0,11,-129.396
1.03893,7,0,18,-103.233
1.03893,1,0,20,-126.421
1.03893,5,0,1,-130.53
1.03993,7,0,3,-138.49
1.03993,7,0,4,-99.707
1.03993,7,0,6,-131.824
1.03993,5,0,2,-95.3254
1.03993,5,0,8,-144.742
1.03993,7,0,13,-106.948
1.03993,5,0,12,-127.28
1.03993,7,0,14,-102.189
1.03993,7,0,18,-103.203
1.03993,5,0,1,-130.531
1.03993,1,0,10,-129.39
1.03993,3,0,5,-104.896
1.03993,1,0,16,-129.054
1.03993,3,0,7,-131.867
1.03993,1,0,17,-128.525
1.03993,1,0,19,-118.421
1.03993,7,0,9,-135.079
1.03993,5,0,15,-131.505
1.03993,3,0,11,-129.407
1.03993,1,0,20,-126.532
1.04093,7,0,3,-138.507
1.04093,7,0,4,-99.6272
1.04093,5,0,1,-130.559
1.04093,1,0,10,-129.472
1.04093,3,0,5,-104.848
1.04093,7,0,6,-131.811
1.04093,5,0,2,-95.3519
1.04093,1,0,16,-129.046
1.04093,7,0,9,-135.071
1.04093,3,0,7,-131.923
1.04093,5,0,8,-144.762
1.04093,7,0,13,-107.012
1.04093,1,0,17,-128.56
1.04093,5,0,12,-127.305
1.04093,7,0,14,-102.162
1.04093,1,0,19,-118.391
1.04093,3,0,11,-129.411
1.04093,7,0,18,-103.125
1.04093,5,0,15,-131.476
1.04093,1,0,20,-126.577
1.04193,7,0,3,-138.559
1.04193,7,0,4,-99.57
1.04193,5,0,1,-130.626
1.04193,1,0,10,-129.626
1.04193,3,0,5,-104.818
1.04193,7,0,6,-131.866
1.04193,5,0,2,-95.3751
1.04193,1,0,16,-129.045
1.04193,7,0,9,-135.009
1.04193,3,0,7,-131.976
1.04193,5,0,8,-144.772
1.04193,7,0,13,-107.001
1.04193,1,0,17,-128.478
1.04193,5,0,12,-127.314
1.04193,7,0,14,-102.191
1.04193,1,0,19,-118.404
1.04193,3,0,11,-129.438
1.04193,7,0,18,-103.088
1.04193,5,0,15,-131.326
1.04193,1,0,20,-126.575
1.04286,7,0,14,-102.162
1.04293,7,0,3,-138.605
1.04293,7,0,4,-99.5769
1.04293,5,0,1,-130.587
1.04293,1,0,10,-129.601
1.04293,7,0,6,-131.844
1.04293,3,0,5,-104.86
1.04293,7,0,9,-134.97
1.04293,5,0,2,-95.3606
1.04293,1,0,16,-129.032
1.04293,7,0,13,-107.013
1.04293,3,0,7,-132.007
1.04293,5,0,8,-144.738
1.04293,1,0,17,-128.538
