time(s),cellId,rnti,lcid,packetSize,delay(s)
1.02167,2,3,3,1530,0.0110709
1.02167,2,3,3,1530,0.0110458
1.02167,2,3,3,1530,0.0110207
1.02167,2,3,3,1530,0.0109956
1.02167,2,3,3,1530,0.0109705
1.02167,2,3,3,1530,0.0109453
1.02167,2,3,3,1530,0.0109202
1.02167,2,3,3,1530,0.0108951
1.02167,2,3,3,1530,0.01087
1.02167,2,3,3,1530,0.0108449
1.02167,8,3,3,1530,0.0111011
1.02167,8,3,3,1530,0.011076
1.02167,8,3,3,1530,0.0110508
1.02167,8,3,3,1530,0.0110257
1.02167,8,3,3,1530,0.0110006
1.02167,8,3,3,1530,0.0109755
1.02167,8,3,3,1530,0.0109504
1.02167,8,3,3,1530,0.0109252
1.02167,8,3,3,1530,0.0109001
1.02167,8,3,3,1530,0.010875
1.02167,8,3,3,1530,0.0108499
1.02174,4,2,3,1530,0.0110293
1.02174,4,2,3,1530,0.0110042
1.02174,4,2,3,1530,0.0109791
1.02174,4,2,3,1530,0.010954
1.02174,4,2,3,1530,0.0109288
1.02174,4,2,3,1530,0.0109037
1.02174,4,2,3,1530,0.0108786
1.02174,4,2,3,1530,0.0108535
1.02174,4,2,3,1530,0.0108284
1.02174,4,2,3,1530,0.0108032
1.02174,4,2,3,1530,0.0107781
1.02174,4,2,3,1530,0.010753
1.02174,4,2,3,1530,0.0107279
1.02181,2,2,3,1530,0.0112364
1.02181,2,2,3,1530,0.0112113
1.02181,2,2,3,1530,0.0111862
1.02181,2,2,3,1530,0.011161
1.02181,2,2,3,1530,0.0111359
1.02181,2,2,3,1530,0.0111108
1.02181,2,2,3,1530,0.0110857
1.02181,2,2,3,1530,0.0110606
1.02181,2,2,3,1530,0.0110354
1.02181,2,2,3,1530,0.0110103
1.02181,2,2,3,1530,0.0109852
1.02181,8,2,3,1530,0.0112427
1.02181,8,2,3,1530,0.0112176
1.02181,8,2,3,1530,0.0111924
1.02181,8,2,3,1530,0.0111673
1.02181,8,2,3,1530,0.0111422
1.02181,8,2,3,1530,0.0111171
1.02181,8,2,3,1530,0.011092
1.02181,8,2,3,1530,0.0110668
1.02181,8,2,3,1530,0.0110417
1.02181,8,2,3,1530,0.0110166
